RDF Type	Class type	Parent	ID	See Also	Label	Part1	Part2L	Part2B	Part3	Scope	Type	Comment	Definition	Editors Note	Citation
owl:Class	subclass	lang:0000001	lang:1000084		Adamorobe Sign Language				ads	I	L		Adamorobe Sign Language language		
owl:Class	subclass	lang:0000001	lang:1000085		Adnyamathanha				adt	I	L		Adnyamathanha language		
owl:Class	subclass	lang:0000001	lang:1000086		Aduge				adu	I	L		Aduge language		
owl:Class	subclass	lang:0000001	lang:1000087		Amundava				adw	I	L		Amundava language		
owl:Class	subclass	lang:0000001	lang:1000088		Amdo Tibetan				adx	I	L		Amdo Tibetan language		
owl:Class	subclass	lang:0000001	lang:1000089		Adyghe		ady	ady	ady	I	L		Adyghe language		
owl:Class	subclass	lang:0000001	lang:1000090		Adzera				adz	I	L		Adzera language		
owl:Class	subclass	lang:0000001	lang:1000091		Areba				aea	I	E		Areba language		
owl:Class	subclass	lang:0000001	lang:1000092		Tunisian Arabic				aeb	I	L		Tunisian Arabic language		
owl:Class	subclass	lang:0000001	lang:1000093		Saidi Arabic				aec	I	L		Saidi Arabic language		
owl:Class	subclass	lang:0000001	lang:1000094		Argentine Sign Language				aed	I	L		Argentine Sign Language language		
owl:Class	subclass	lang:0000001	lang:1000095		Northeast Pashai				aee	I	L		Northeast Pashai language		
owl:Class	subclass	lang:0000001	lang:1000096		Haeke				aek	I	L		Haeke language		
owl:Class	subclass	lang:0000001	lang:1000097		Ambele				ael	I	L		Ambele language		
