RDF Type	Class type	Parent	ID	See Also	Label	Label	Label	Label	Label	Part1	Part2L	Part2B	Part3	Comment	Definition	Editors Note	Citation
TYPE	CLASS_TYPE	CI	ID	AI rdfs:seeAlso	AL rdfs:label@en	AL rdfs:label@es	AL rdfs:label@fr	AL rdfs:label@de	AL rdfs:label@it	A LANG:0000002	A LANG:0000003	A LANG:0000004	A  LANG:0000005	A  LANG:0000006	AL IAO:0000115@en	AL IAO:0000116@en	AL IAO:0000119@en
owl:Class		BFO:0000031	LANG:0000001		Language	idioma	la langue	Sprache	linguaggio						"the words, their pronunciation, and the methods of combining them used and understood by a community"		Merriam-Webster https://www.merriam-webster.com/dictionary/languageowl:Class	subclass	LANG:0000001	LANG:10000001		Alumu-Tesu							aab		Alumu-Tesu language		
owl:Class	subclass	LANG:0000001	LANG:10000055		Aka-Kora							ack		Aka-Kora language		
owl:Class	subclass	LANG:0000001	LANG:10000056		Akar-Bale							acl		Akar-Bale language		
owl:Class	subclass	LANG:0000001	LANG:10000057		Mesopotamian Arabic							acm		Mesopotamian Arabic language		
owl:Class	subclass	LANG:0000001	LANG:10000058		Achang							acn		Achang language		
owl:Class	subclass	LANG:0000001	LANG:10000059		Eastern Acipa							acp		Eastern Acipa language		
owl:Class	subclass	LANG:0000001	LANG:10000060		Ta'izzi-Adeni Arabic							acq		Ta'izzi-Adeni Arabic language		
owl:Class	subclass	LANG:0000001	LANG:10000061		Achi							acr		Achi language		
owl:Class	subclass	LANG:0000001	LANG:10000062		Acroá							acs		Acroá language		
owl:Class	subclass	LANG:0000001	LANG:10000063		Achterhoeks							act		Achterhoeks language		
owl:Class	subclass	LANG:0000001	LANG:10000064		Achuar-Shiwiar							acu		Achuar-Shiwiar language		
owl:Class	subclass	LANG:0000001	LANG:10000065		Achumawi							acv		Achumawi language		
owl:Class	subclass	LANG:0000001	LANG:10000066		Hijazi Arabic							acw		Hijazi Arabic language		
owl:Class	subclass	LANG:0000001	LANG:10000067		Omani Arabic							acx		Omani Arabic language		
owl:Class	subclass	LANG:0000001	LANG:10000068		Cypriot Arabic							acy		Cypriot Arabic language		
owl:Class	subclass	LANG:0000001	LANG:10000069		Acheron							acz		Acheron language		
owl:Class	subclass	LANG:0000001	LANG:10000070		Adangme					ada	ada	ada		Adangme language		
owl:Class	subclass	LANG:0000001	LANG:10000071		Adabe							adb		Adabe language		
owl:Class	subclass	LANG:0000001	LANG:10000072		Lidzonka							add		Lidzonka language		
owl:Class	subclass	LANG:0000001	LANG:10000073		Adele							ade		Adele language		
owl:Class	subclass	LANG:0000001	LANG:10000074		Dhofari Arabic							adf		Dhofari Arabic language		
owl:Class	subclass	LANG:0000001	LANG:10000075		Andegerebinha							adg		Andegerebinha language		
owl:Class	subclass	LANG:0000001	LANG:10000076		Adhola							adh		Adhola language		
owl:Class	subclass	LANG:0000001	LANG:10000077		Adi							adi		Adi language		
owl:Class	subclass	LANG:0000001	LANG:10000078		Adioukrou							adj		Adioukrou language		
owl:Class	subclass	LANG:0000001	LANG:10000079		Galo							adl		Galo language		
owl:Class	subclass	LANG:0000001	LANG:10000080		Adang							adn		Adang language		
owl:Class	subclass	LANG:0000001	LANG:10000081		Abu							ado		Abu language		
owl:Class	subclass	LANG:0000001	LANG:10000082		Adangbe							adq		Adangbe language		
owl:Class	subclass	LANG:0000001	LANG:10000083		Adonara							adr		Adonara language		
owl:Class	subclass	LANG:0000001	LANG:10000084		Adamorobe Sign Language							ads		Adamorobe Sign Language language		
owl:Class	subclass	LANG:0000001	LANG:10000085		Adnyamathanha							adt		Adnyamathanha language		
owl:Class	subclass	LANG:0000001	LANG:10000086		Aduge							adu		Aduge language		
owl:Class	subclass	LANG:0000001	LANG:10000087		Amundava							adw		Amundava language		
owl:Class	subclass	LANG:0000001	LANG:10000088		Amdo Tibetan							adx		Amdo Tibetan language		
owl:Class	subclass	LANG:0000001	LANG:10000089		Adyghe					ady	ady	ady		Adyghe language		
owl:Class	subclass	LANG:0000001	LANG:10000090		Adzera							adz		Adzera language		
owl:Class	subclass	LANG:0000001	LANG:10000091		Areba							aea		Areba language		
owl:Class	subclass	LANG:0000001	LANG:10000092		Tunisian Arabic							aeb		Tunisian Arabic language		
owl:Class	subclass	LANG:0000001	LANG:10000093		Saidi Arabic							aec		Saidi Arabic language		
owl:Class	subclass	LANG:0000001	LANG:10000094		Argentine Sign Language							aed		Argentine Sign Language language		
owl:Class	subclass	LANG:0000001	LANG:10000095		Northeast Pashai							aee		Northeast Pashai language		
owl:Class	subclass	LANG:0000001	LANG:10000096		Haeke							aek		Haeke language		
owl:Class	subclass	LANG:0000001	LANG:10000097		Ambele							ael		Ambele language		
owl:Class	subclass	LANG:0000001	LANG:10000098		Arem							aem		Arem language		
owl:Class	subclass	LANG:0000001	LANG:10000099		Armenian Sign Language							aen		Armenian Sign Language language		
owl:Class	subclass	LANG:0000001	LANG:10000100		Aer							aeq		Aer language		
owl:Class	subclass	LANG:0000001	LANG:10000101		Eastern Arrernte							aer		Eastern Arrernte language		
owl:Class	subclass	LANG:0000001	LANG:10000102		Alsea							aes		Alsea language		
owl:Class	subclass	LANG:0000001	LANG:10000103		Akeu							aeu		Akeu language		
owl:Class	subclass	LANG:0000001	LANG:10000104		Ambakich							aew		Ambakich language		
owl:Class	subclass	LANG:0000001	LANG:10000105		Amele							aey		Amele language		
owl:Class	subclass	LANG:0000001	LANG:10000106		Aeka							aez		Aeka language		
owl:Class	subclass	LANG:0000001	LANG:10000107		Gulf Arabic							afb		Gulf Arabic language		
owl:Class	subclass	LANG:0000001	LANG:10000108		Andai							afd		Andai language		
owl:Class	subclass	LANG:0000001	LANG:10000109		Putukwam							afe		Putukwam language		
owl:Class	subclass	LANG:0000001	LANG:10000110		Afghan Sign Language							afg		Afghan Sign Language language		
owl:Class	subclass	LANG:0000001	LANG:10000111		Afrihili					afh	afh	afh		Afrihili language		
owl:Class	subclass	LANG:0000001	LANG:10000112		Akrukay							afi		Akrukay language		
owl:Class	subclass	LANG:0000001	LANG:10000113		Nanubae							afk		Nanubae language		
owl:Class	subclass	LANG:0000001	LANG:10000114		Defaka							afn		Defaka language		
owl:Class	subclass	LANG:0000001	LANG:10000115		Eloyi							afo		Eloyi language		
owl:Class	subclass	LANG:0000001	LANG:10000116		Tapei							afp		Tapei language		
owl:Class	subclass	LANG:0000001	LANG:10000117		Afrikaans				af	afr	afr	afr		Afrikaans language		
owl:Class	subclass	LANG:0000001	LANG:10000118		Afro-Seminole Creole							afs		Afro-Seminole Creole language		
owl:Class	subclass	LANG:0000001	LANG:10000119		Afitti							aft		Afitti language		
owl:Class	subclass	LANG:0000001	LANG:10000120		Awutu							afu		Awutu language		
owl:Class	subclass	LANG:0000001	LANG:10000121		Obokuitai							afz		Obokuitai language		
owl:Class	subclass	LANG:0000001	LANG:10000122		Aguano							aga		Aguano language		
owl:Class	subclass	LANG:0000001	LANG:10000123		Legbo							agb		Legbo language		
owl:Class	subclass	LANG:0000001	LANG:10000124		Agatu							agc		Agatu language		
owl:Class	subclass	LANG:0000001	LANG:10000125		Agarabi							agd		Agarabi language		
owl:Class	subclass	LANG:0000001	LANG:10000126		Angal							age		Angal language		
owl:Class	subclass	LANG:0000001	LANG:10000127		Arguni							agf		Arguni language		
owl:Class	subclass	LANG:0000001	LANG:10000128		Angor							agg		Angor language		
owl:Class	subclass	LANG:0000001	LANG:10000129		Ngelima							agh		Ngelima language		
owl:Class	subclass	LANG:0000001	LANG:10000130		Agariya							agi		Agariya language		
owl:Class	subclass	LANG:0000001	LANG:10000131		Argobba							agj		Argobba language		
owl:Class	subclass	LANG:0000001	LANG:10000132		Isarog Agta							agk		Isarog Agta language		
owl:Class	subclass	LANG:0000001	LANG:10000133		Fembe							agl		Fembe language		
owl:Class	subclass	LANG:0000001	LANG:10000134		Angaataha							agm		Angaataha language		
owl:Class	subclass	LANG:0000001	LANG:10000135		Agutaynen							agn		Agutaynen language		
owl:Class	subclass	LANG:0000001	LANG:10000136		Tainae							ago		Tainae language		
owl:Class	subclass	LANG:0000001	LANG:10000137		Aghem							agq		Aghem language		
owl:Class	subclass	LANG:0000001	LANG:10000138		Aguaruna							agr		Aguaruna language		
owl:Class	subclass	LANG:0000001	LANG:10000139		Esimbi							ags		Esimbi language		
owl:Class	subclass	LANG:0000001	LANG:10000140		Central Cagayan Agta							agt		Central Cagayan Agta language		
owl:Class	subclass	LANG:0000001	LANG:10000141		Aguacateco							agu		Aguacateco language		
owl:Class	subclass	LANG:0000001	LANG:10000142		Remontado Dumagat							agv		Remontado Dumagat language		
owl:Class	subclass	LANG:0000001	LANG:10000143		Kahua							agw		Kahua language		
